key,en,de
data:population considering their dwelling as too dark,Population considering their dwelling as too dark,"Bevölkerung, deren Wohnung/Haus zu wenig Tageslicht bietet"
data:population covered by health insurance,Population covered by health insurance,Bevölkerung mit Krankenversicherungsschutz
data:population covered by health insurance (%),Population covered by health insurance,Bevölkerung mit Krankenversicherungsschutz
data:population growth rate,Population growth rate,Bevölkerungsentwicklung
data:population living below 50% of median income,Population living below 50% of median income,"Bevölkerung, die mit weniger als 50% des mittleren Einkommens lebt"
data:population living below 50% of median income (%),Population living below 50% of median income,"Bevölkerung, die mit weniger als 50% des mittleren Einkommens lebt"
"data:population living in an area with crime, violence or vandalism","Population living in an area with crime, violence or vandalism","Bevölkerung, in deren Wohnumgebung es Kriminalität, Gewalt oder Vandalismus gibt"
data:population living in an area with noise pollution,Population living in an area with noise pollution,Bevölkerung mit Lärmbelästigung in deren Wohnumgebung
data:population living in households with moisture damages,Population living in households with moisture damages,"Bevölkerung, in deren Wohnung/Haus es Feuchtigkeitsschäden gibt"
"data:population not living in an area with crime, violence or vandalism","Population not living in an area with crime, violence or vandalism","Bevölkerung, in deren Wohnumgebung es keine Kriminalität, Gewalt oder Vandalismus gibt"
"data:population not living in an area with crime, violence or vandalism (%)","Population not living in an area with crime, violence or vandalism","Bevölkerung, in deren Wohnumgebung es keine Kriminalität, Gewalt oder Vandalismus gibt"
data:population satisfied with their experience of government services during the previous two years,Population satisfied with their experience of government services during the previous two years,"Bevölkerung, die mit den Behördendiensten während der letzten zwei Jahre zufrieden war"
data:population satisfied with their experience of government services during the previous two years (%),Population satisfied with their experience of government services during the previous two years,"Bevölkerung, die mit den Behördendiensten während der letzten zwei Jahre zufrieden war"
data:population subjected to physical violence,Population subjected to physical violence,"Bevölkerung, die körperlicher Gewalt ausgesetzt war"
data:population that has convenient access to public transport (within 10 minutes walking distance),Population that has convenient access to public transport (within 10 minutes walking distance),"Bevölkerung, die Zugang zu öffentlichen Verkehrsmitteln hat (innerhalb von 10 Minuten zu Fuß zu erreichen)"
data:population that has convenient access to public transport (within 10 minutes walking distance) (%),Population that has convenient access to public transport (within 10 minutes walking distance),"Bevölkerung, die Zugang zu öffentlichen Verkehrsmitteln hat (innerhalb von 10 Minuten zu Fuß zu erreichen)"
data:population that has convenient access to public transport (within 500 meters),Population that has convenient access to public transport (within 500 meters),"Bevölkerung, die Zugang zu öffentlichen Verkehrsmitteln hat (innerhalb von 500 Metern)"
data:population that has convenient access to public transport (within 500 meters) (%),Population that has convenient access to public transport (within 500 meters),"Bevölkerung, die Zugang zu öffentlichen Verkehrsmitteln hat (innerhalb von 500 Metern)"
data:population using safely managed drinking water services,Population using safely managed drinking water services,Bevölkerung mit einer sicher verwalteten Trinkwasserversorgung
data:population using safely managed drinking water services (%),Population using safely managed drinking water services,Bevölkerung mit einer sicher verwalteten Trinkwasserversorgung
data:population using the internet in the last three months,Population using the internet in the last three months,"Bevölkerung, die das Internet in den letzten drei Monaten genutzt hat"
data:population using the internet in the last three months (%),Population using the internet in the last three months,"Bevölkerung, die das Internet in den letzten drei Monaten genutzt hat"
data:population weighted annual mean levels of pm10,Population weighted annual mean levels of PM10,Bevölkerungsgewichtete Jahresmittelwerte von PM<sub>10</sub>
data:population weighted annual mean levels of pm10 (micrograms per cubic meter),Population weighted annual mean levels of PM10,Bevölkerungsgewichtete Jahresmittelwerte von PM<sub>10</sub>
data:population weighted annual mean levels of pm10 (ug/m3),Population weighted annual mean levels of PM10,Bevölkerungsgewichtete Jahresmittelwerte von PM<sub>10</sub>
data:population who considers their experiences with public agencies free of discrimination during the previous two years,Population who considers their experiences with public agencies free of discrimination during the previous two years,"Bevölkerung, die in den letzten zwei Jahren ihre Erfahrungen mit öffentlichen Einrichtungen als diskriminierungsfrei erachtet"
data:population who considers their experiences with public agencies free of discrimination during the previous two years (%),Population who considers their experiences with public agencies free of discrimination during the previous two years,"Bevölkerung, die in den letzten zwei Jahren ihre Erfahrungen mit öffentlichen Einrichtungen als diskriminierungsfrei erachtet"
data:population who had the impression that public officials are corruptible (during their interactions with public agencies in the previous two years),Population who had the impression that public officials are corruptible (during their interactions with public agencies in the previous two years),"Bevölkerung, die den Eindruck hatte, dass Beschäftigte des öffentlichen Dienstes bestechlich waren (während ihrer Interaktionen mit öffentlichen Einrichtungen in den vergangenen zwei Jahren)"
data:population who were victims of criminal offences,Population who were victims of criminal offences,"Bevölkerung, die Opfer einer Straftat war"
data:population with access to electricity,Population with access to electricity,Bevölkerung mit Zugang zu Elektrizität
data:premature mortality,Premature mortality,Vorzeitige Sterblichkeit
data:primary,Primary education,Grundschulbildung
data:private and public spending on research and development,Private and public spending on research and development,Private und öffentliche Ausgaben für Forschung und Entwicklung
data:private concessional flows (net disbursements),Private Concessional Flows (net disbursements),Private konzessionäre Leistungen der Nichtregierungsorganisationen (Nettoauszahlungen)
data:private households with at least one mobile phone,Private households with at least one mobile phone,Privathaushalte mit mindestens einem Mobiltelefon
data:private households with at least one mobile phone (%),Private households with at least one mobile phone,Privathaushalte mit mindestens einem Mobiltelefon
data:private persons (donors) suspected in the context of corruption offences,Private persons (donors) suspected in the context of corruption offences,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten
data:private sector flows at market terms (net disbursements),Private Sector Flows at market terms (net disbursements),Private Leistungen zu marktüblichen Bedingungen (Nettoauszahlungen)
data:profession,Profession,Beruf
data:proportion of bilateral and imputed multilateral net oda for ldcs to the gni,Proportion of bilateral and imputed multilateral net ODA for LDCs to the GNI,Verhältnis der bilateralen sowie multilateralen öffentlichen Nettoentwicklungslausgaben für die am wenigsten entwickelten Länder (LDCs) zum BNE
data:proportion of bilateral and imputed multilateral net oda for ldcs to the gni (%),Proportion of bilateral and imputed multilateral net ODA for LDCs to the GNI,Verhältnis der bilateralen sowie multilateralen öffentlichen Nettoentwicklungslausgaben für die am wenigsten entwickelten Länder (LDCs) zum BNE
data:proportion of domestic expenditures funded by national taxes,Proportion of domestic expenditures funded by national taxes,"Anteil der Staatsausgaben, die durch Steuern finanziert werden"
data:proportion of domestic expenditures funded by national taxes (%),Proportion of domestic expenditures funded by national taxes,"Anteil der Staatsausgaben, die durch Steuern finanziert werden"
data:proportion of domestic expenditures funded by national taxes and insurance contributions,Proportion of domestic expenditures funded by national taxes and insurance contributions,"Anteil der Staatsausgaben, die durch Steuern und Sozialversicherungsausgaben finanziert werden"
data:proportion of domestic expenditures funded by national taxes and insurance contributions (%),Proportion of domestic expenditures funded by national taxes and insurance contributions,"Anteil der Staatsausgaben, die durch Steuern und Sozialversicherungsausgaben finanziert werden"
data:proportion of msy examined in all managed stocks,Proportion of MSY examined in all managed stocks,MSY-untersuchte an allen bewirtschafteten Beständen
data:proportion of net oda to gni,Proportion of net ODA to GNI,Verhältnis der öffentlichen Nettoentwicklungsausgaben zum BNE
data:proportion of net oda to gni (%),Proportion of net ODA to GNI,Verhältnis der öffentlichen Nettoentwicklungsausgaben zum BNE
data:proportion of new development interventions drawn from country-led result frameworks by providers of development cooperation,Proportion of new development interventions drawn from country-led result frameworks by providers of development cooperation,Anteil neuer Entwicklungsmaßnahmen in den länderspezifischen Ergebnisframeworks von Gebern von Entwicklungszusammenarbeit
